Gene names (ordered locus ),dataset_effect_log2FC,p_value,n_obs,n_growth_rates,mean_formate,mean_phosphate,fdr
MMP0422,-1.0787621789916477,0.04180767719198712,9,2,-0.49226977175694275,0.5496238044677464,0.19293581383313813
MMP1392,-0.8056758932412814,0.0423350954944301,12,2,0.17920571317022096,0.9848816064115026,0.19293581383313813
MMP0260,0.4189543243933146,0.042693080586458564,12,2,-0.24117715574741375,-0.6601314801407286,0.19293581383313813
MMP0633,1.1466666007122857,0.04290330486326179,12,2,0.9312579687051166,-0.21540863200716945,0.19293581383313813
MMP0923,-1.039910571032089,0.04297768929936891,12,2,0.001205105167685171,1.0411156761997746,0.19293581383313813
MMP1328,-2.066877365063717,0.04439103859862422,8,2,0.01257208637193541,1.251842700791435,0.19695131526441143
MMP0929,-0.9683715119385975,0.04450342219916989,7,2,-0.6942466124757637,0.23333090483285546,0.19695131526441143
MMP1369,0.38141360194448043,0.044846783424358376,12,2,-0.09295467942885195,-0.4743682813733325,0.19707318913239175
MMP0453,-1.1248780394058822,0.04538481569598533,4,2,-0.3781604053205195,0.8989853972441455,0.1978625737492808
MMP1564,0.6130126975511844,0.045660593942141725,12,2,0.32052683213374283,-0.29248586541744176,0.1978625737492808
MMP0177,-1.6535854301788173,0.04748828107684907,6,2,-0.42442848663442384,1.68926451888716,0.20329247470463452
MMP1365,0.6813413399976034,0.04756522645332795,12,2,-0.561901878249316,-1.2432432182469197,0.20329247470463452
MMP0713,1.0336730168682458,0.04813388186190937,10,2,-0.446144165062422,-1.4798171819306674,0.2043234168832071
MMP1161,-2.390773044741756,0.048536129968707896,7,2,-1.3575287212176919,0.7216719075639094,0.20463881824644412
MMP0331,1.5776361182333438,0.048947408235146095,10,2,-0.34632853695821353,-1.6653257331973101,0.20471278273932078
MMP1436,0.3353473957319992,0.04920980354310596,12,2,0.07376024708792336,-0.2615871486440759,0.20471278273932078
MMP1122,0.8133113331418489,0.04985983287784992,12,2,-0.4865735517273406,-1.29988488486919,0.20604328288594934
MMP0981,0.685684470567364,0.05180487757372226,12,2,0.06248992107145406,-0.6231945494959102,0.21267265530264928
MMP0669,0.7577710770583067,0.054084390823525945,12,2,-0.10377207617465466,-0.8615431532329617,0.22057947629987054
MMP0641,0.6096538798837957,0.05537532898841595,12,2,-0.3651805293795252,-0.9748344092633211,0.22321445131353104
MMP1255,-1.432785321731147,0.05544589736153416,7,2,-1.0026957088476487,0.4614153272313335,0.22321445131353104
MMP1550,-0.683973255532034,0.05826885070478429,12,2,-0.15874524298951276,0.5252280125425216,0.23307540281913716
MMP1167,-0.845481637137156,0.05979608528760749,9,2,0.28494653092727756,1.072920930982046,0.23766087400934444
MMP1707,-0.2519609016316647,0.06034465287000043,12,2,-0.4279471441887733,-0.1759862425571086,0.23832318601822955
MMP1722,-1.0062001568065209,0.06143176719995934,5,2,-0.030112776509730266,0.8265909269353054,0.2399790174657387
MMP1314,-1.2349939552639975,0.06153308140147145,12,2,-0.5281638877667757,0.7068300674972221,0.2399790174657387
MMP1146,1.4953384179650997,0.06198784242059684,10,2,0.16842014566175653,-1.3612200148527727,0.24025101658666104
MMP0818,-2.5191656995719534,0.06441340192665299,9,2,0.42381892334718524,3.1872591453045813,0.24811088149525592
MMP1681,1.4194606048721903,0.0658448768239961,10,2,0.17164870785114847,-1.2478118970210412,0.25144942352297245
MMP1247,0.6579447970956658,0.06608606643872994,12,2,0.7523457259363268,0.09440092884066098,0.25144942352297245
MMP0345,-0.5498124327761387,0.06745943295822894,11,2,-0.4063942581169776,-0.014177299959907038,0.2551193100965749
MMP1174,-0.7907322386057776,0.06869258581760587,12,2,0.8026680354277663,1.5934002740335442,0.25598034060585295
MMP1149,1.028635703824033,0.06879687122175522,12,2,0.409705796631511,-0.6189299071925225,0.25598034060585295
MMP0716,0.7370386929462344,0.0689177840092681,9,2,-0.003291870470796443,-0.8033080960127135,0.25598034060585295
MMP0087,-0.3556827004411079,0.06934141469474894,11,2,0.10034677009323519,0.5024119789365137,0.2560298388729192
MMP1033,-1.2689404953216388,0.0704394332000543,11,2,-0.23186242384648476,1.1418288570063797,0.25709907827029266
MMP1579,1.2448981524104317,0.07064352339728175,12,2,0.12949913542562408,-1.115399016984808,0.25709907827029266
MMP1245,0.4556783835432463,0.0708670536257858,12,2,0.7376276144210365,0.28194923087778984,0.25709907827029266
MMP1031,0.4097648668408023,0.07171842765006867,12,2,0.00859955153433479,-0.40116531530646776,0.2586838084025598
MMP1464,1.051514105935126,0.07297286668577223,5,2,0.3387639135480687,-0.6326635773422764,0.2616957977696659
MMP1415,0.5476964705149091,0.07377757700425837,12,2,-0.3954928545625644,-0.9431893250774736,0.26302679211258134
MMP1543,0.6708527695908172,0.07455763272850363,12,2,-0.09659454500053742,-0.7674473145913548,0.26302679211258134
MMP1437,0.8163565833488993,0.07460856122424182,11,2,-0.5285020375330607,-1.4321430737927698,0.26302679211258134
MMP1675,-1.5101440854869095,0.07513624383509286,7,2,0.4381096912237963,1.628538558587162,0.26339896715223565
MMP1362,0.3990469642290408,0.07752899231440598,12,2,-0.04541156294179494,-0.4444585271708359,0.27026866594519183
MMP0550,-1.1141408495120415,0.07919999142401771,11,2,-0.975990826674552,0.31406397133021596,0.27406263457947666
MMP1422,-0.9126358192911046,0.07949573214564949,7,2,0.832727938503977,1.7345972119700228,0.27406263457947666
MMP0868,1.4289458289878842,0.08011255992693772,11,2,0.10076488235416685,-1.5199210286224525,0.27467163403521505
MMP0154,-1.292148197251204,0.08077355850228703,11,2,-0.7917801838329328,0.41664978401239905,0.27542459292583116
MMP0966,0.8284653388402536,0.08241933101800125,12,2,0.3902346198724848,-0.4382307189677693,0.2795090356262651
MMP1408,0.35511767600255645,0.08603097126536235,12,2,-0.0669694530967507,-0.42208712909930735,0.29018014091668165
MMP1044,0.5970864750424509,0.08724529130038591,12,2,0.25462836340999945,-0.3424581116324517,0.29233064958661825
MMP0137,-0.7609248823311408,0.08760549915496411,8,2,-0.3084800520784032,0.5901547051064193,0.29233064958661825
MMP0386,0.6504758066863568,0.08848829400493478,12,2,0.9955142435445415,0.34503843685818447,0.2937058269099963
MMP1562,1.1277594167057061,0.09057668766371,11,2,0.707358747060824,-0.4246284243742431,0.2987534005842242
MMP1615,-0.5067040186369579,0.0909665803060939,11,2,0.5872475760222641,1.0584879070945648,0.2987534005842242
MMP1135,1.7146261538916987,0.09225655985790743,7,2,1.566077346706109,-0.14763461013655318,0.3014036301116975
MMP1637,0.5563753756704077,0.09383313571796915,12,2,0.5600172766839433,0.003641901013535296,0.30495769108339976
MMP1470,-0.6466003366923565,0.09914903141805691,12,2,-0.6324568026762636,0.014143534016093418,0.320564744066671
MMP1658,0.43236290455275883,0.1001342156649966,12,2,-0.2367105646879414,-0.6690734692407004,0.3220811885307107
MMP0181,-0.628934771609447,0.10123226187918215,10,2,0.2481750164080679,0.8771097880175146,0.3239432380133829
MMP0577,0.8503079657030799,0.10239697516074812,10,2,-0.3865869712216332,-0.9344440404275836,0.3256036722779796
MMP1324,0.6914539306018535,0.10281271796873308,12,2,-0.3944944993104131,-1.0859484299122666,0.3256036722779796
MMP1368,0.3676440158878637,0.10331654985743582,12,2,-0.5065145297218913,-0.874158545609755,0.3256036722779796
MMP0025,0.6960850393952274,0.10560748876931536,12,2,-0.20129359607663067,-0.8973786354718584,0.33072404294173763
MMP1266,0.9692578628119144,0.1060012958146595,9,2,-0.40165286296666586,-1.2900692707716772,0.33072404294173763
MMP1364,0.8789381913488508,0.10720309333654625,12,2,0.15858769199912184,-0.7203504993497294,0.332809603194054
MMP1039,0.2602857460038402,0.10827390302157706,12,2,-0.32495103322344226,-0.5852367792272825,0.3344698786409113
MMP0658,-0.49903411374894485,0.11185574345537493,12,2,0.38352645668858143,0.8825605704375264,0.33949825880595547
MMP1069,-0.9007802647087422,0.11192253781609338,7,2,-0.2153898816656594,1.0951956493610544,0.33949825880595547
MMP1137,0.7663749572848949,0.11288019585958356,11,2,1.0077540560824192,0.11563880378126308,0.33949825880595547
MMP0034,-1.1432282261897182,0.11365402685130503,8,2,-0.43888696106301983,1.110760489387861,0.33949825880595547
MMP1510,0.9608422879605293,0.11388040796542431,12,2,-0.0019225854014282746,-0.9627648733619579,0.33949825880595547
MMP0253,-0.7773898141920769,0.11409658231147284,12,2,-0.7186859985765178,0.0587038156155593,0.33949825880595547
MMP0251,-0.47299904184707053,0.11416788859852632,12,2,-0.44799986860246305,0.024999173244607733,0.33949825880595547
MMP0411,2.598219901481515,0.11473149888780663,4,2,3.2388663911002205,0.22413928578207912,0.33949825880595547
MMP0580,2.1819678664514406,0.11479828943598815,4,2,0.5217054826160038,-1.2559684478952167,0.33949825880595547
MMP0694,-0.8513786885816372,0.11695502152529229,12,2,-0.798799666555244,0.052579022026393564,0.34424496901784146
MMP0317,0.42414302546961197,0.11767975658367916,12,2,0.011326078691551703,-0.41281694677806047,0.34475196294936994
MMP1168,0.6151711244775552,0.11925776240997403,12,2,0.20070780501808852,-0.4144633194594669,0.34689674441160884
MMP0387,-1.9601142489506407,0.11952371802643574,9,2,-2.064354371976597,-0.05396057791532268,0.34689674441160884
MMP0116,-1.0774266970619828,0.12119403245734321,12,2,0.13454992246879716,1.2119766195307804,0.35011609376565817
MMP0382,1.3336300142680442,0.12460426388944466,8,2,0.053143083215885345,-1.6091177257536575,0.3583090353318593
