Gene names (ordered locus ),comparison,mean_formate,mean_phosphate,log2FC,n_formate,n_phosphate,p_value,fdr
MMP0603,formate_vs_phosphate,0.22029032338070365,-0.4788075747648523,0.699097898145556,12,11,0.021058539986090537,0.09927465234241144
MMP1409,formate_vs_phosphate,-0.34823525401354344,0.23453779303367353,-0.582773047047217,12,12,0.0211643814042871,0.09927465234241144
MMP1470,formate_vs_phosphate,-0.5864257323808878,0.02251108319425128,-0.6089368155751391,12,12,0.021449179311369408,0.09989189222152038
MMP0422,formate_vs_phosphate,-0.25873542260303095,0.44799924099063354,-0.7067346635936644,10,11,0.021674201494284395,0.10022396719342855
MMP1547,formate_vs_phosphate,-0.2621061809243567,-0.8279971340608685,0.5658909531365117,12,12,0.02218524580009993,0.1018646497300363
MMP1314,formate_vs_phosphate,-0.4724766391441438,0.43171155838599723,-0.904188197530141,12,12,0.022618712442888204,0.10304095264784824
MMP1300,formate_vs_phosphate,1.1109594586474165,2.7675663907028007,-1.6566069320553842,11,2,0.02275751101424869,0.10304095264784824
MMP1488,formate_vs_phosphate,-0.3243940103340349,0.4167881209208614,-0.7411821312548963,9,11,0.02377877103364364,0.10654541585060984
MMP0596,formate_vs_phosphate,-0.00744197715291442,-0.44010123209074153,0.4326592549378271,12,12,0.023858329316240854,0.10654541585060984
MMP1266,formate_vs_phosphate,-0.4267912860035313,-1.1491134740909423,0.7223221880874111,8,12,0.024156971961949613,0.10714520897408944
MMP1008,formate_vs_phosphate,-0.7521339148560451,0.1100497283943842,-0.8621836432504293,2,7,0.025047296596179835,0.11034349581560306
MMP1245,formate_vs_phosphate,0.8205004848033816,0.30663472554230126,0.5138657592610802,12,12,0.025444541801356323,0.11134121647304913
MMP0393,formate_vs_phosphate,0.18004988862381,-1.3503408145099292,1.5303907031337391,3,5,0.026666181324484083,0.11590900149042414
MMP1113,formate_vs_phosphate,-0.06282584922891986,-0.7571497759579073,0.6943239267289875,12,11,0.027041706787541024,0.11676286639388575
MMP1611,formate_vs_phosphate,-0.4915019881907598,0.36166011059106334,-0.8531620987818231,12,12,0.027649033181377767,0.1182096481034411
MMP0387,formate_vs_phosphate,-1.3578697093713852,0.2567598493893352,-1.6146295587607205,10,9,0.02773938061323081,0.1182096481034411
MMP1415,formate_vs_phosphate,-0.3675190974037403,-0.867368441569193,0.49984934416545274,12,12,0.028397487752030746,0.11992346383863954
MMP0926,formate_vs_phosphate,0.7069126533324779,-0.8575635611513396,1.5644762144838174,2,3,0.028509412415627496,0.11992346383863954
MMP1310,formate_vs_phosphate,0.023986568558722093,-0.80397850498121,0.8279650735399321,12,12,0.02898872117973768,0.1211579885204421
MMP1188,formate_vs_phosphate,-0.5390716534730939,-0.8894610173787751,0.3503893639056812,12,12,0.029479748349659763,0.12176136616606467
MMP1212,formate_vs_phosphate,-1.0552688522930764,-0.2019800847638399,-0.8532887675292365,12,12,0.029669928447684808,0.12176136616606467
MMP1422,formate_vs_phosphate,0.914068809625937,1.6312860267592098,-0.7172172171332728,5,4,0.029693339295098594,0.12176136616606467
MMP1404,formate_vs_phosphate,-0.12040326154627995,-0.5185066686079693,0.3981034070616894,12,12,0.03024704533265524,0.12325670973057011
MMP0154,formate_vs_phosphate,-0.43989645245973186,0.5844371080369395,-1.0243335604966712,9,11,0.03145904803737517,0.12700123420185894
MMP0654,formate_vs_phosphate,-1.012976306117314,-0.611214521696175,-0.4017617844211391,12,12,0.03155552138144348,0.12700123420185894
MMP1433,formate_vs_phosphate,-0.31722658625970557,-0.8442869061584873,0.5270603198987818,12,12,0.031867677869127205,0.12747071147650882
MMP1274,formate_vs_phosphate,-0.8070709546836791,-1.8811774988354655,1.0741065441517863,12,12,0.03253528727628716,0.12794715293194667
MMP0457,formate_vs_phosphate,-0.24548969338500862,-1.1502629729953089,0.9047732796103003,12,12,0.03263973347255123,0.12794715293194667
MMP0875,formate_vs_phosphate,-1.0517540211060625,-2.8342467063727215,1.782492685266659,5,9,0.0327878423524666,0.12794715293194667
MMP1418,formate_vs_phosphate,-0.2305837665768317,-0.7967403752296617,0.56615660865283,12,12,0.032902728947513275,0.12794715293194667
MMP1436,formate_vs_phosphate,-0.025790935118400003,-0.30848794335166135,0.2826970082332613,12,12,0.03296797805608442,0.12794715293194667
MMP1359,formate_vs_phosphate,-0.351477863038788,0.46852202363117496,-0.8199998866699629,11,9,0.033260963829073155,0.12832040483169052
MMP1156,formate_vs_phosphate,0.8163311692548513,0.14451245801019466,0.6718187112446566,12,12,0.034405055428609825,0.13062792736260656
MMP0082,formate_vs_phosphate,-0.4161996878802044,0.21040190850804308,-0.6266015963882474,12,12,0.03449557801216685,0.13062792736260656
MMP1091,formate_vs_phosphate,-0.23927799001087968,0.7858577819016678,-1.0251357719125473,12,6,0.0345540427535492,0.13062792736260656
MMP1716,formate_vs_phosphate,-0.5667423636720951,-0.09973216730950211,-0.46701019636259294,12,12,0.03466047765909653,0.13062792736260656
MMP0164,formate_vs_phosphate,0.2108128372726866,-0.36226220804505904,0.5730750453177457,12,12,0.03493239003376635,0.13089608219549229
MMP0822,formate_vs_phosphate,1.4193655358264492,0.8688916302200588,0.5504739056063904,12,12,0.03567442425748656,0.13223644308097451
MMP0141,formate_vs_phosphate,0.4529203860380205,-0.41012672972302017,0.8630471157610407,11,11,0.03575645767168832,0.13223644308097451
MMP0577,formate_vs_phosphate,0.30381193965727993,-0.9206606438651787,1.2244725835224586,8,12,0.03589854359713572,0.13223644308097451
MMP0542,formate_vs_phosphate,0.8113087172459291,1.6321250564735406,-0.8208163392276114,12,11,0.03667895776836102,0.1336841376587691
MMP1017,formate_vs_phosphate,-0.8481398445285562,-0.009646513305184326,-0.8384933312233719,12,12,0.0367016267498768,0.1336841376587691
MMP0331,formate_vs_phosphate,-0.45274908443354034,-1.362816227680951,0.9100671432474107,10,11,0.03793006945451378,0.13739114046857212
MMP1149,formate_vs_phosphate,0.1018976999935071,-0.59940924732997,0.7013069473234771,12,12,0.0383340687936982,0.13808736383144324
MMP0704,formate_vs_phosphate,0.28770844668532014,0.9517788480035273,-0.6640704013182072,12,12,0.0404690214422558,0.1444048556144947
MMP0345,formate_vs_phosphate,-0.3162725424783768,0.40546982291048567,-0.7217423653888624,11,12,0.04053081070161431,0.1444048556144947
MMP0887,formate_vs_phosphate,-0.3748631937401316,-0.9486885833441495,0.573825389604018,12,6,0.04146047662565775,0.14691429760830899
MMP1146,formate_vs_phosphate,0.14245675563733537,-0.8709260265987779,1.0133827822361132,10,11,0.04317189333595862,0.15172930672902596
MMP1375,formate_vs_phosphate,-1.3827403726995107,-0.5043663414767448,-0.8783740312227659,10,12,0.04349903037576168,0.15172930672902596
MMP0684,formate_vs_phosphate,0.23125208681020426,-0.9812255377218891,1.2124776245320934,11,10,0.043517454537312664,0.15172930672902596
MMP1584,formate_vs_phosphate,-1.1809206948571598,-0.005724158536400052,-1.1751965363207597,10,12,0.044171908259252324,0.15319193715442828
MMP0597,formate_vs_phosphate,0.3433890843777192,-0.05130704625550774,0.39469613063322695,12,12,0.0448266019464753,0.15432653015914716
MMP0539,formate_vs_phosphate,-0.9053445766757213,-0.35372309994364537,-0.551621476732076,12,12,0.045243458502119686,0.15432653015914716
MMP1116,formate_vs_phosphate,-0.2454681609095799,0.04531410053869345,-0.29078226144827335,12,12,0.0453028752698227,0.15432653015914716
