Gene names (ordered locus ),matched_growth_rates,log2FC,median_log2FC,mean_p_value,min_p_value,mean_fdr,fdr
MMP0625,2,0.41841458926397623,0.41841458926397623,0.0370194596085597,0.026310416413362354,0.353987710203139,0.7165132954846829
MMP1207,2,1.2099151359790181,1.2099151359790181,0.04027753915707081,0.002117298649933119,0.31045068778050666,0.7165132954846829
MMP1560,2,1.0178460674213987,1.0178460674213987,0.04083346167460369,0.03489795156545255,0.35490300615530446,0.7165132954846829
MMP1208,2,0.001457186722583631,0.001457186722583631,0.041831467657877396,0.021739072565396703,0.36392073771336136,0.7165132954846829
MMP1567,2,0.9452051596860218,0.9452051596860218,0.04335084081783583,0.01919201374109254,0.3696142013330631,0.7165132954846829
MMP0126,2,-2.285319675053754,-2.285319675053754,0.04364241299427325,0.028904124888356687,0.3672239025649306,0.7165132954846829
MMP1085,1,-2.443087485355779,-2.443087485355779,0.04500495267519767,0.04500495267519767,0.36509971521511836,0.7165132954846829
MMP1621,1,1.4364097765981023,1.4364097765981023,0.04984123087814292,0.04984123087814292,0.370712722684496,0.7165132954846829
MMP1566,2,1.3027980509210622,1.3027980509210622,0.05116792533959551,0.03941266087227844,0.38262060390222097,0.7165132954846829
MMP0308,2,-0.0010135614695719886,-0.0010135614695719886,0.05164948176548845,0.005696890904643808,0.3473278730013195,0.7165132954846829
MMP1359,2,-1.0734410912888395,-1.0734410912888395,0.05201303917469273,0.05201303917469273,0.37573598448584,0.7165132954846829
MMP0023,1,-2.6870407277428408,-2.6870407277428408,0.05668612947126855,0.05668612947126855,0.3897415080343707,0.7165132954846829
MMP0542,2,-1.3087309283066517,-1.3087309283066517,0.060332900318820354,0.03326922801054378,0.404793721638748,0.7165132954846829
MMP0331,2,1.4185640094123984,1.4185640094123984,0.06075491697077543,0.06075491697077543,0.3970200967974361,0.7165132954846829
MMP1045,2,0.7465361006246326,0.7465361006246326,0.06292712869206517,0.024177934623383034,0.3977294068527736,0.7165132954846829
MMP1667,1,-2.0969546941528527,-2.0969546941528527,0.06410837330884768,0.06410837330884768,0.4027699160675014,0.7165132954846829
MMP1474,2,-0.06232466785415747,-0.06232466785415747,0.06482964153918791,0.009474585876858111,0.37441836232484627,0.7165132954846829
MMP1545,2,1.0701838228197238,1.0701838228197238,0.06566348111721994,0.023057208730530313,0.39655364699654205,0.7165132954846829
MMP0447,2,0.7492290698954377,0.7492290698954377,0.06795993149349489,0.03306869732290135,0.404793721638748,0.7165132954846829
MMP0388,2,0.3847782147563047,0.3847782147563047,0.07035868462852891,0.03658499621736373,0.40860676001220014,0.7165132954846829
MMP0829,2,0.8585899962074126,0.8585899962074126,0.07056500901288068,0.07056500901288068,0.4216477081757315,0.7165132954846829
MMP1347,2,0.9574550803718388,0.9574550803718388,0.07309303953804414,0.019483367104511966,0.4062487184144006,0.7165132954846829
MMP1671,2,0.8001310163604166,0.8001310163604166,0.07404024285852917,0.041439363198303825,0.4149904306985619,0.7165132954846829
MMP0357,1,3.4821995027567274,3.4821995027567274,0.07497019481665423,0.07497019481665423,0.4345577759432413,0.7165132954846829
MMP1299,2,1.1101698219927214,1.1101698219927214,0.07499772778937541,0.029990020224316682,0.409289919511046,0.7165132954846829
MMP0176,2,0.782807648131844,0.782807648131844,0.07537823608299932,0.043357899725392335,0.4149904306985619,0.7165132954846829
MMP1433,2,0.9651972571617378,0.9651972571617378,0.07782871907498426,0.04324845985447561,0.41743303575884827,0.7165132954846829
MMP1675,1,-1.5101440854869093,-1.5101440854869093,0.07807214948598677,0.07807214948598677,0.4420169166573448,0.7165132954846829
MMP1505,2,0.9462315686691127,0.9462315686691127,0.08386663027722258,0.05881531084262017,0.42741735698023675,0.7165132954846829
MMP0540,2,-1.1762445172899787,-1.1762445172899787,0.08525354592597492,0.022029109921392547,0.41830380218318053,0.7165132954846829
MMP0687,2,-1.0187054807094194,-1.0187054807094194,0.08697450759309432,0.03388535838431008,0.4217259947784241,0.7165132954846829
MMP0603,2,1.2300632374943665,1.2300632374943665,0.08868576451352445,0.06458301721618673,0.4362681361850398,0.7165132954846829
MMP1358,2,-2.07077232803018,-2.07077232803018,0.09187083038891045,0.08635540447655102,0.4648811461820055,0.7165132954846829
MMP0567,2,1.562509089045356,1.562509089045356,0.09503578558349907,0.05069217666254869,0.4352441606600241,0.7165132954846829
MMP1720,2,-1.843772754906559,-1.843772754906559,0.09548157571810637,0.0401683932288676,0.43755590016921175,0.7165132954846829
MMP0020,2,-0.3793348962723805,-0.3793348962723805,0.10134877354985071,0.10134877354985071,0.4648811461820055,0.7165132954846829
MMP0657,2,0.8532412868634199,0.8532412868634199,0.10181105066634999,0.013872187373338167,0.4208532732299539,0.7165132954846829
MMP0153,2,-1.8340360269975367,-1.8340360269975367,0.10367616904174129,0.03275920718955435,0.4347850595808547,0.7165132954846829
MMP1422,1,-0.9126358192911043,-0.9126358192911043,0.10407788396160936,0.10407788396160936,0.4648811461820055,0.7165132954846829
MMP0297,2,0.7479967958530886,0.7479967958530886,0.10482697949620115,0.00275397950526726,0.37286750172527106,0.7165132954846829
MMP1375,2,-0.3849045748287562,-0.3849045748287562,0.10573691506957276,0.10573691506957276,0.4648811461820055,0.7165132954846829
MMP0040,2,-2.425243063008699,-2.425243063008699,0.10616638984061312,0.10616638984061312,0.4648811461820055,0.7165132954846829
MMP1515,2,0.6378355197357863,0.6378355197357863,0.10669564452188958,0.08517427106180062,0.474576217599864,0.7165132954846829
MMP1712,2,-0.7785840172350336,-0.7785840172350336,0.1082795778417532,0.06109324457308498,0.4553206319394824,0.7165132954846829
MMP1524,2,-1.437828039251607,-1.437828039251607,0.10929817774366726,0.024246915696458125,0.43957467947609175,0.7165132954846829
MMP0258,2,0.9010096764366959,0.9010096764366959,0.11117968562774497,0.07250706735648703,0.46978307674855146,0.7165132954846829
MMP1248,2,0.6382528298857071,0.6382528298857071,0.11512966078565265,0.09624142747185291,0.4809641774746616,0.7165132954846829
MMP0836,2,-1.0168498239161687,-1.0168498239161687,0.11545778186596703,0.10380496570137121,0.474576217599864,0.7165132954846829
MMP0284,2,0.767293226667644,0.767293226667644,0.1155303788214222,0.1155303788214222,0.4698882634417508,0.7165132954846829
MMP1188,2,0.5159065109762007,0.5159065109762007,0.11683004652154287,0.02118238656831104,0.44904985552025234,0.7165132954846829
MMP0816,2,0.3662517834463461,0.3662517834463461,0.11788065303091852,0.04675101887189282,0.45320364163102955,0.7165132954846829
MMP1634,2,-2.142777982921786,-2.142777982921786,0.12201770693041825,0.03142795081762454,0.4572899301624583,0.7165132954846829
MMP0261,2,-1.61131683730112,-1.61131683730112,0.12290798848543137,0.09219915237799517,0.4881741261189345,0.7165132954846829
MMP0684,2,1.7017812688192648,1.7017812688192648,0.12381443819286295,0.09226171653177097,0.4892511566317671,0.7165132954846829
MMP0091,2,-1.566357523458691,-1.566357523458691,0.12534944616447388,0.0007373340325951938,0.36598812628600474,0.7165132954846829
MMP1565,2,0.987575743883423,0.987575743883423,0.12687522191595682,0.10958024281936786,0.48604529658044904,0.7165132954846829
MMP1563,2,-0.18792945334836253,-0.18792945334836253,0.12773504121109272,0.015402340106400117,0.45477287600630456,0.7165132954846829
MMP1381,2,-1.3906105248278786,-1.3906105248278786,0.12802330355859065,0.125445704551957,0.4854227066431822,0.7165132954846829
MMP0281,2,-1.4325533181361572,-1.4325533181361572,0.13091036842778034,0.12091607939656052,0.48630961719397964,0.7165132954846829
MMP0250,2,0.5673028039978956,0.5673028039978956,0.134407429853945,0.042753092204549696,0.47609698359213715,0.7165132954846829
MMP1298,2,0.8207403222033582,0.8207403222033582,0.13567641862754445,0.0003300376600494251,0.3460969433478691,0.7165132954846829
MMP1640,2,0.09876908819082844,0.09876908819082844,0.13696543117582186,0.02939243932898022,0.4738877510143822,0.7165132954846829
MMP0866,2,1.1444436960567312,1.1444436960567312,0.1372598442474667,0.10379601165747189,0.49303905903752543,0.7165132954846829
MMP1032,2,-0.6274964575160811,-0.6274964575160811,0.13764851293881508,0.103538932867422,0.49303905903752543,0.7165132954846829
MMP1319,2,0.32705322694342487,0.32705322694342487,0.13788607943989722,0.003821132382098228,0.39863379012866584,0.7165132954846829
MMP1038,2,0.7464709827320966,0.7464709827320966,0.13899838314879,0.08033394304569369,0.49933745885112407,0.7165132954846829
MMP0274,2,-0.055606162483538446,-0.055606162483538446,0.14087207442939034,0.0565476166318365,0.4884178800017633,0.7165132954846829
MMP1136,2,0.631784326618662,0.631784326618662,0.14119491986516977,0.09935401044776071,0.5025519097071196,0.7165132954846829
MMP1562,2,1.1943886453759478,1.1943886453759478,0.14139426956432574,0.06942899178827207,0.49365499295336945,0.7165132954846829
MMP1302,2,1.0686065313011235,1.0686065313011235,0.14500446682703688,0.044634658630890084,0.48408446007419614,0.7165132954846829
MMP1366,2,0.6596791541555928,0.6596791541555928,0.14603991534088498,0.10766857762684412,0.5025519097071196,0.7165132954846829
MMP1421,2,0.7549505583647014,0.7549505583647014,0.1466473312975467,0.04535888591292838,0.48408446007419614,0.7165132954846829
