Gene names (ordered locus ),group1,group2,mean_group1,mean_group2,log2FC,n_group1,n_group2,p_value,fdr
MMP1369,xs,s,0.042261053416656674,-0.22146363989135065,0.2637246933080073,3,3,0.22623779091903987,0.8949643824593566
MMP1174,xs,s,0.9453087669373619,1.511520103446214,-0.5662113365088521,3,3,0.22682147581643966,0.8949643824593566
MMP0260,xs,s,-0.43480121993770116,-0.16754571196935306,-0.26725550796834807,3,3,0.23014564886811797,0.8949643824593566
MMP1044,xs,s,0.24328349122922063,-0.5633452273696646,0.8066287185988853,3,3,0.23077433560005856,0.8949643824593566
MMP1211,xs,s,-0.25952584221449215,-1.1832402963783764,0.9237144541638842,3,3,0.23437100715070172,0.8949643824593566
MMP0913,xs,s,1.2052399890169567,1.7294147983297385,-0.5241748093127818,3,3,0.23620717150801787,0.8949643824593566
MMP0317,xs,s,0.2781216127007361,-0.24001868468255935,0.5181402973832955,3,3,0.23622866917200064,0.8949643824593566
MMP1007,xs,s,1.2003707314335328,1.3712643934865725,-0.17089366205303969,2,3,0.23671385426979538,0.8949643824593566
MMP0082,xs,s,-0.15361133261652252,-0.4034996029067109,0.24988827029018837,3,3,0.2375329622508296,0.8949643824593566
MMP0427,xs,s,1.1540196821482211,0.035142299016071174,1.11887738313215,3,3,0.23996654545597576,0.8949643824593566
MMP0168,xs,s,0.012232411409274585,-0.2029197030212188,0.2151521144304934,3,2,0.24050931419449662,0.8949643824593566
MMP0723,xs,s,0.8091064450854374,2.0477080304376245,-1.2386015853521872,2,3,0.2405099370935149,0.8949643824593566
MMP0136,xs,s,0.14691201686633015,-0.7791548268952185,0.9260668437615487,3,3,0.2407589000199616,0.8949643824593566
MMP0372,xs,s,0.4600026408492635,1.010224529771267,-0.5502218889220036,3,3,0.24137336665196193,0.8949643824593566
MMP0683,xs,s,0.8642336375797243,0.24099319074186576,0.6232404468378585,2,3,0.2430791317126003,0.8949643824593566
MMP1149,xs,s,1.2134855214809293,-0.208906411214145,1.4223919326950742,3,3,0.2450739035462691,0.8949643824593566
MMP1122,xs,s,-0.1728656682214839,-0.9408542969249346,0.7679886287034507,3,3,0.2450974879056892,0.8949643824593566
MMP0610,xs,s,-0.09632212035954743,-1.040174277358434,0.9438521569988865,2,3,0.2481858651836477,0.8949643824593566
MMP1321,xs,s,0.05470845007998357,-0.1927907112703312,0.24749916135031477,3,3,0.24839278773683066,0.8949643824593566
MMP1662,xs,s,0.07008358223913375,1.1362204706972194,-1.0661368884580857,2,3,0.24951110723705255,0.8949643824593566
MMP0042,xs,s,0.27022897852070704,-0.05471349384854416,0.3249424723692512,2,3,0.25284719576339804,0.8949643824593566
MMP1429,xs,s,0.4416291367628878,0.039243836857028806,0.402385299905859,3,3,0.2561265691298516,0.8949643824593566
MMP1249,xs,s,-0.19782201021672416,0.19732764115262927,-0.3951496513693534,3,3,0.258222876771324,0.8949643824593566
MMP1474,xs,s,-0.20645509972249096,-0.35194959127806175,0.1454944915555708,3,3,0.26004253414829015,0.8949643824593566
MMP1420,xs,s,0.15382122630917924,-0.21037376695099944,0.3641949932601787,3,3,0.2613998113007375,0.8949643824593566
MMP0822,xs,s,1.0932796187014764,1.7719462257594933,-0.678666607058017,3,3,0.2624726189091137,0.8949643824593566
MMP0052,xs,s,0.3273344327915503,0.018382652814616113,0.3089517799769342,3,3,0.2630672656178839,0.8949643824593566
MMP1515,xs,s,-0.3933569367059448,-0.766768537502381,0.37341160079643626,3,3,0.2686740007243358,0.8949643824593566
MMP1373,xs,s,-0.08998067690622558,0.18951059995666505,-0.27949127686289066,3,3,0.2687209316224878,0.8949643824593566
MMP1328,xs,s,-0.8150346642722838,0.0844431134416183,-0.899477777713902,3,3,0.2689951127249935,0.8949643824593566
MMP1493,xs,s,-0.3509838817422648,-0.7398232377984745,0.3888393560562097,2,3,0.2701307135923029,0.8949643824593566
MMP0263,xs,s,-1.3694506254157741,0.4565790482463407,-1.8260296736621149,3,3,0.27061163721813036,0.8949643824593566
MMP0820,xs,s,0.9843406177332378,2.0685581651677905,-1.0842175474345526,3,3,0.271472616677532,0.8949643824593566
MMP1066,xs,s,0.6671365200040333,-0.10354717309050214,0.7706836930945354,3,3,0.27202861661606353,0.8949643824593566
MMP0291,xs,s,1.5784516380086402,0.5090586751390079,1.0693929628696321,3,3,0.27400357908186823,0.8949643824593566
MMP1432,xs,s,-0.06281491340027306,-0.3695361748185954,0.30672126141832234,3,3,0.2749205326668057,0.8949643824593566
MMP0153,xs,s,0.06112761481946858,-0.21550977565028498,0.27663739046975355,3,3,0.27907816031779725,0.8949643824593566
MMP0253,xs,s,-0.5490066009819122,-1.4857271637916334,0.9367205628097212,3,3,0.27983652707551837,0.8949643824593566
MMP1666,xs,s,-1.659676263213217,-2.5834525083741204,0.9237762451609035,3,3,0.2810283220859265,0.8949643824593566
MMP1164,xs,s,0.02769273403273047,-0.22753372370076624,0.2552264577334967,2,2,0.2816468290566994,0.8949643824593566
MMP1381,xs,s,-1.0470145064426992,-1.652943644751068,0.6059291383083687,3,3,0.2826406381741213,0.8949643824593566
MMP0167,xs,s,0.6680535181561957,0.15631472013972017,0.5117387980164756,3,3,0.2841241603955573,0.8949643824593566
MMP0235,xs,s,0.8726132298178844,0.49909037721101507,0.3735228526068693,2,3,0.28577923780443343,0.8949643824593566
MMP1325,xs,s,-0.012737055639896763,-0.24467021784577403,0.23193316220587726,3,3,0.287602326497366,0.8949643824593566
MMP0057,xs,s,-0.09650796034317415,-1.2473585148481652,1.150850554504991,3,3,0.28876840254294855,0.8949643824593566
MMP1156,xs,s,0.4168811600036477,0.9898782838834831,-0.5729971238798354,3,3,0.2888582945041527,0.8949643824593566
MMP1286,xs,s,0.06845204067152906,-0.7934793683098927,0.8619314089814218,3,3,0.2889418296848664,0.8949643824593566
MMP1593,xs,s,-1.1107305468938855,-0.48595723189054824,-0.6247733150033372,2,3,0.2892960901738008,0.8949643824593566
MMP1297,xs,s,1.1066027387027098,1.7384155267285184,-0.6318127880258086,3,3,0.29120320002341804,0.8949643824593566
MMP0064,xs,s,0.3783238228946962,1.1574712229420996,-0.7791474000474035,3,3,0.2914938870284375,0.8949643824593566
MMP0651,xs,s,0.43559214363092114,1.4828168918094577,-1.0472247481785366,3,3,0.2923514444370693,0.8949643824593566
MMP1155,xs,s,1.5264864531622981,1.8952176170332746,-0.3687311638709765,3,3,0.2937004270389295,0.8949643824593566
MMP1301,xs,s,1.3113140756311181,1.5771543621808233,-0.26584028654970515,3,3,0.296351112604789,0.8949643824593566
MMP1323,xs,s,-0.18886098400446535,0.21556910930434106,-0.4044300933088064,3,3,0.2978964266632783,0.8949643824593566
MMP1252,xs,s,0.4776056833059273,-0.366135695193218,0.8437413784991452,3,3,0.29896159922575133,0.8949643824593566
MMP1116,xs,s,-0.05203638112215752,-0.2720810999972659,0.22004471887510835,3,3,0.29976777453206715,0.8949643824593566
MMP0103,xs,s,-0.0034454881370243515,-0.9101174612108985,0.9066719730738741,3,3,0.30067739086155215,0.8949643824593566
MMP0868,xs,s,0.6653636627952141,-0.6105963388343744,1.2759600016295884,3,3,0.3009489345104831,0.8949643824593566
MMP0234,xs,s,0.5708988149340617,0.8465497529775418,-0.27565093804348006,3,3,0.3015224986479208,0.8949643824593566
MMP1615,xs,s,0.7950067089084246,0.34916265829303583,0.4458440506153888,3,3,0.3018087336538549,0.8949643824593566
MMP1616,xs,s,-0.8396817941580843,-1.1412817199801157,0.30159992582203143,3,3,0.30538680723186623,0.8949643824593566
MMP0961,xs,s,1.647395898274391,1.9343202562406414,-0.2869243579662504,3,3,0.3053964073480604,0.8949643824593566
MMP0584,xs,s,0.7092294483608793,0.015043257145676336,0.694186191215203,3,3,0.3063877264909993,0.8949643824593566
MMP1200,xs,s,0.1334955927547463,-0.20858410336316055,0.34207969611790684,3,3,0.3081448175617071,0.8949643824593566
MMP0808,xs,s,0.06748908471109698,0.7046726004570646,-0.6371835157459677,3,2,0.3143397716294397,0.8949643824593566
MMP0327,xs,s,-0.11086065481837327,-0.5342883311326517,0.42342767631427847,2,3,0.31552497119256934,0.8949643824593566
MMP1720,xs,s,0.5295923980782384,0.26491320833955123,0.2646791897386872,3,3,0.32041670977051,0.8949643824593566
MMP1154,xs,s,1.2343781085636867,0.9125851314845362,0.32179297707915044,3,3,0.32160885044693444,0.8949643824593566
MMP1697,xs,s,-0.2748525791448634,-0.80977250866964,0.5349199295247766,3,3,0.3227442488591396,0.8949643824593566
MMP0978,xs,s,0.6357686548611953,-0.29443551749929,0.9302041723604852,3,3,0.323624826075018,0.8949643824593566
MMP0249,xs,s,-0.7524750525593716,-0.23031145939092448,-0.5221635931684472,3,3,0.32387049342791213,0.8949643824593566
MMP0984,xs,s,0.28143640657404506,-0.36441975914539243,0.6458561657194375,3,3,0.3250504720136463,0.8949643824593566
MMP1721,xs,s,1.660402735977969,0.5815989040317437,1.0788038319462252,3,3,0.32506585917843317,0.8949643824593566
MMP1030,xs,s,-0.1601417006674596,0.2900858265275897,-0.4502275271950493,3,3,0.3306474018002128,0.8949643824593566
