Gene names (ordered locus ),group1,group2,mean_group1,mean_group2,log2FC,n_group1,n_group2,p_value,fdr
MMP0925,xs,i,-0.3397982522615826,0.8140065270583182,-1.1538047793199009,3,3,0.39403209830977104,0.7723907221610326
MMP1506,xs,i,-2.444316010865849,-1.6724706781863323,-0.7718453326795165,2,3,0.39538840366891265,0.7723907221610326
MMP0695,xs,i,0.3323220460556516,0.07874122327589046,0.25358082277976113,3,3,0.39621639839398276,0.7723907221610326
MMP0765,xs,i,2.174975252479974,0.6828907961115194,1.4920844563684548,3,2,0.39992611402829037,0.7734242316590799
MMP0025,xs,i,-0.9579393105616001,-1.6392921216871965,0.6813528111255964,3,3,0.40033077419533947,0.7734242316590799
MMP0971,xs,i,-0.33222489387745036,-0.06490552367075349,-0.2673193702066969,3,3,0.4013778447731752,0.7734242316590799
MMP0429,xs,i,-0.729773253920814,-0.005804012703801338,-0.7239692412170127,3,3,0.40526697267929007,0.7747577073203916
MMP0716,xs,i,-0.8681190873865604,-1.339137345820781,0.4710182584342205,3,3,0.40783594632485254,0.7747577073203916
MMP1558,xs,i,-0.4139781294328733,-0.15445828323773647,-0.25951984619513685,3,3,0.40928080618450224,0.7747577073203916
MMP1692,xs,i,0.07523924568812879,-1.4283054160083777,1.5035446616965065,3,2,0.409359484432694,0.7747577073203916
MMP1547,xs,i,-1.5504751691129837,-1.0414424137185068,-0.5090327553944769,3,3,0.4098019809179716,0.7747577073203916
MMP1137,xs,i,1.3481652397216146,0.07046888415095631,1.2776963555706584,2,3,0.4119996776678399,0.7759843553067209
MMP0667,xs,i,-0.9051295247132408,-1.1236829975382145,0.21855347282497373,3,3,0.4145840084734987,0.7779272967985874
MMP1021,xs,i,-0.570809341797099,-1.6724706791541142,1.1016613373570152,2,3,0.4210016182065908,0.7780962968266277
MMP0051,xs,i,-0.7297732530773567,-1.3255900185545364,0.5958167654771797,3,3,0.42140450930864737,0.7780962968266277
MMP1189,xs,i,-1.527212394217134,-2.132744609666604,0.60553221544947,3,3,0.4217666509660941,0.7780962968266277
MMP1286,xs,i,0.3540730020067104,-0.04764763984498561,0.401720641851696,3,3,0.42299585346846413,0.7780962968266277
MMP1680,xs,i,0.603560079634646,1.3732128206450602,-0.7696527410104143,3,2,0.4240006776073606,0.7780962968266277
MMP1072,xs,i,0.25184270046328744,-0.8674581796632997,1.1193008801265871,2,3,0.4245596868796125,0.7780962968266277
MMP1417,xs,i,-1.273783505227078,-1.0058040128100416,-0.26797949241703645,3,3,0.42554567930238724,0.7780962968266277
MMP1436,xs,i,-0.5706102511070856,-0.424520018921843,-0.14609023218524264,3,3,0.42979329422104057,0.7818969717353128
MMP1611,xs,i,-0.11974825417945818,0.5656111602215267,-0.6853594144009849,3,3,0.4307456371236454,0.7818969717353128
MMP1444,xs,i,-1.2580940869788249,-0.5848756925432717,-0.6732183944355532,3,2,0.4339222212411895,0.7830261311008644
MMP1265,xs,i,-0.1245814443528704,-0.5341248466321286,0.4095434022792582,3,3,0.4349938018246315,0.7830261311008644
MMP1433,xs,i,-1.4869720597479568,-1.2501252336150106,-0.23684682613294616,3,3,0.4366212732005885,0.7830261311008644
MMP1169,xs,i,0.1053584144198571,-0.04689816039310903,0.15225657481296614,3,3,0.4376193946272296,0.7830261311008644
MMP1586,xs,i,-0.18182119043889353,0.5225168207000898,-0.7043380111389833,3,3,0.4404610097876226,0.7845738106680948
