Gene names (ordered locus ),growth_rate,bio_rep,log2_ratio
MMP0059,xs,3.0,-0.9899721691827558
MMP0060,f,1.0,-0.19534554208796814
MMP0060,f,2.0,-0.47804820421344996
MMP0060,f,3.0,0.09639764741491326
MMP0060,m,1.0,-0.6491907397716551
MMP0060,m,2.0,-0.7600960368966021
MMP0060,m,3.0,0.15423649641214374
MMP0060,s,1.0,-0.7001848586548901
MMP0060,s,2.0,-0.3984764482977757
MMP0060,s,3.0,-0.4602909600983775
MMP0060,xs,1.0,-1.6276291926797724
MMP0060,xs,2.0,-1.0388734314107635
MMP0060,xs,3.0,0.3019174419360122
MMP0061,f,1.0,0.42330923724238684
MMP0061,f,2.0,-0.5269924320838263
MMP0061,f,3.0,-0.3651125309118162
MMP0061,m,1.0,-1.1297339296040172
MMP0061,m,3.0,0.5204272555045406
MMP0061,s,1.0,2.6158870739160567
MMP0061,s,3.0,0.019246544930351217
MMP0061,xs,1.0,0.6727463261970046
MMP0061,xs,2.0,0.25096157353321874
MMP0061,xs,3.0,2.154129500790182
MMP0062,f,1.0,-1.2153161773642558
MMP0062,f,2.0,-1.0934516382955837
MMP0062,f,3.0,-0.16510000287227822
MMP0062,m,1.0,-1.3807037801032702
MMP0062,m,2.0,-1.093866435128962
MMP0062,m,3.0,-1.0664753968890386
MMP0062,s,1.0,-1.39088333219636
MMP0062,s,2.0,-0.8783330695281387
MMP0062,s,3.0,-0.7914930025208139
MMP0062,xs,1.0,-2.8408571996584646
MMP0062,xs,2.0,-2.028452450378715
MMP0062,xs,3.0,-0.2915723193812589
MMP0063,f,3.0,0.07860983469636647
MMP0063,m,1.0,-0.9928109263145246
MMP0063,m,2.0,1.2209490044667792
MMP0063,m,3.0,-0.8756718649977983
MMP0063,s,3.0,0.08949815083910263
MMP0063,xs,1.0,-0.11340860650337342
MMP0063,xs,3.0,0.7344251536244232
MMP0064,f,1.0,0.6440788613511992
MMP0064,f,2.0,0.7090463288339687
