Gene names (ordered locus ),log2FC,p_value,fdr,comparison,mean_formate,mean_phosphate,n_formate,n_phosphate
MMP0836,-0.9797279553873148,0.00013877478229459874,0.0033694325376384194,formate_vs_phosphate,0.38035149328806067,1.3600794486753756,12,12
MMP0045,-1.3204575625738784,0.0001310410940639359,0.0033694325376384194,formate_vs_phosphate,-0.6797640931617756,0.6406934694121027,12,12
MMP0897,-3.0332273637013643,0.00014515253796356062,0.0033799805268657683,formate_vs_phosphate,-1.9672898887945542,1.0659374749068098,3,9
MMP1524,-1.4579001954783313,0.0002372242745860367,0.005333456104486067,formate_vs_phosphate,-0.9276800784750238,0.5302201170033076,9,12
MMP1189,1.7335356118499057,0.00026835388777488663,0.005832224494307536,formate_vs_phosphate,0.3922584635641859,-1.3412771482857198,10,12
MMP1504,1.1762561826566609,0.00038010016750889306,0.007976152416437003,formate_vs_phosphate,-0.5941621803793478,-1.7704183630360086,12,12
MMP1381,-1.4247398572731647,0.00039146760326071184,0.007976152416437003,formate_vs_phosphate,-1.088172055233587,0.33656780203957776,11,10
MMP1434,0.7804093720621188,0.0004270708355499585,0.008341865197192093,formate_vs_phosphate,-0.37800679443279656,-1.1584161664949153,11,12
MMP1439,-1.8224034608533088,0.00043500524034437296,0.008341865197192093,formate_vs_phosphate,-0.040827631206483396,1.7815758296468254,12,12
MMP0344,0.7358218721956487,0.0004729111129869162,0.008809658447641982,formate_vs_phosphate,0.6184930117837181,-0.11732886041193064,11,12
MMP0633,1.1170033565967317,0.0005078341780442118,0.009197441224578504,formate_vs_phosphate,0.8977019327191932,-0.2193014238775384,12,12
MMP1566,0.9310670713214003,0.0005219410644883256,0.009197447947199684,formate_vs_phosphate,0.3004862990911774,-0.6305807722302229,12,12
MMP0736,0.6827238969003258,0.0005818184202907152,0.009982779211303852,formate_vs_phosphate,0.3586491164828646,-0.32407478041746113,12,12
MMP0823,0.9237110026585702,0.0008013558288022704,0.013397025650745648,formate_vs_phosphate,1.263975330066846,0.3402643274082757,12,12
MMP0245,-0.9983567350896532,0.0008515445739402952,0.013556940742722129,formate_vs_phosphate,-0.5913365816162953,0.4070201534733579,12,12
