Gene names (ordered locus ),group1,group2,log2FC,p_value,fdr,mean_group1,mean_group2,n_group1,n_group2
MMP0148,xs,s,1.340261225110682,0.37248074014523774,0.8949643824593566,-0.19088494689060298,-1.5311461720012849,3,3
MMP1704,xs,s,1.3064693045334508,0.09483209975714481,0.8949643824593566,-0.026667968744648978,-1.3331372732780997,3,3
MMP0219,xs,s,1.3013535933537732,0.4259370347457703,0.8949643824593566,0.7024915838030669,-0.5988620095507063,3,3
MMP0868,xs,s,1.2759600016295884,0.3009489345104831,0.8949643824593566,0.6653636627952141,-0.6105963388343744,3,3
MMP0539,xs,s,1.255307486770998,0.16390355439660848,0.8949643824593566,-0.183323151842811,-1.4386306386138088,3,3
MMP0397,xs,s,1.2175064869159256,0.0040791142588997905,0.8949643824593566,0.6050054111925275,-0.6125010757233982,3,3
MMP0285,xs,s,1.2131889255810169,0.1629117444799567,0.8949643824593566,-0.16983565681886156,-1.3830245823998784,3,3
MMP1668,xs,s,1.1899077418440354,0.3702954213222081,0.8949643824593566,-0.44055515820203217,-1.6304629000460675,3,3
MMP0113,xs,s,1.158774221532812,0.38181326163400564,0.8949643824593566,0.6839147986479199,-0.4748594228848922,3,2
MMP0057,xs,s,1.150850554504991,0.28876840254294855,0.8949643824593566,-0.09650796034317415,-1.2473585148481652,3,3
MMP0982,xs,s,1.1328665458733553,0.07698782391195473,0.8949643824593566,0.6263811374021431,-0.5064854084712124,3,3
MMP1510,xs,s,1.1254519452908722,0.3698301442452304,0.8949643824593566,0.535119462262268,-0.5903324830286041,3,3
MMP0427,xs,s,1.11887738313215,0.23996654545597576,0.8949643824593566,1.1540196821482211,0.035142299016071174,3,3
MMP1721,xs,s,1.0788038319462252,0.32506585917843317,0.8949643824593566,1.660402735977969,0.5815989040317437,3,3
MMP1352,xs,s,1.07089779921322,0.3835554488499767,0.8949643824593566,-0.8441696327808131,-1.915067431994033,3,3
MMP0291,xs,s,1.0693929628696321,0.27400357908186823,0.8949643824593566,1.5784516380086402,0.5090586751390079,3,3
MMP1527,xs,s,1.065069758530131,0.08251128369385279,0.8949643824593566,0.5029450707367706,-0.5621246877933604,3,3
MMP0688,xs,s,1.056607666196455,0.1541275488615131,0.8949643824593566,0.0963351199773644,-0.9602725462190905,3,3
MMP1314,xs,s,1.0458765630577005,0.20669317623817962,0.8949643824593566,0.181572791160584,-0.8643037718971165,3,3
MMP1681,xs,s,1.036829394580947,0.17983619588807104,0.8949643824593566,0.968203990033064,-0.06862540454788302,3,3
MMP0764,xs,s,1.022068846537062,0.12419966813938628,0.8949643824593566,0.6979711955202272,-0.32409765101683474,2,2
MMP0879,xs,s,1.0130531820458093,0.14730321349979744,0.8949643824593566,0.5193590966828229,-0.4936940853629865,3,3
MMP0431,xs,s,0.974431116535093,0.02007921495984364,0.8949643824593566,0.637118788009703,-0.33731232852539,3,3
MMP0947,xs,s,0.9622904227931544,0.3542262992443305,0.8949643824593566,-0.4385050818541754,-1.4007955046473297,3,3
MMP0650,xs,s,0.9596262238055326,0.3344086694495922,0.8949643824593566,0.808364514936127,-0.15126170886940557,3,3
MMP0610,xs,s,0.9438521569988865,0.2481858651836477,0.8949643824593566,-0.09632212035954743,-1.040174277358434,2,3
MMP0388,xs,s,0.9383746787641877,0.15345777099784397,0.8949643824593566,1.1666748443289665,0.2283001655647788,3,3
MMP0253,xs,s,0.9367205628097212,0.27983652707551837,0.8949643824593566,-0.5490066009819122,-1.4857271637916334,3,3
MMP0978,xs,s,0.9302041723604852,0.323624826075018,0.8949643824593566,0.6357686548611953,-0.29443551749929,3,3
MMP0136,xs,s,0.9260668437615487,0.2407589000199616,0.8949643824593566,0.14691201686633015,-0.7791548268952185,3,3
