Gene names (ordered locus ),growth_rate,mean_formate,mean_phosphate,log2FC_within_growth_rate,n_formate,n_phosphate,p_value_within_growth_rate,fdr_within_growth_rate
MMP1714,f,0.1750119949267862,-0.0960204870718755,0.2710324819986617,2,3,0.4919529325015506,0.7455578256861959
MMP1716,f,-0.23669327805339188,-0.06284192896977851,-0.17385134908361338,3,3,0.7951635969659065,0.9141548240653177
MMP1720,f,-0.231610638319826,1.7912388791906915,-2.0228495175105174,3,3,0.0401683932288676,0.36509971521511836
MMP1721,f,0.2232014169251115,0.991439071791592,-0.7682376548664804,3,2,0.25957597224035905,0.6113614139383639
MMP1722,f,-0.030112776509730266,0.9760873802967908,-1.006200156806521,2,1,,
MMP0001,xs,-0.39976070985481327,-1.4706127375686546,1.0708520277138414,2,1,,
MMP0002,xs,0.20008853608433919,-0.6710059460255433,0.8710944821098825,2,1,,
MMP0003,xs,0.08735545721882658,-0.06310658614310743,0.15046204336193403,3,3,0.800343668687772,0.9168433979760512
MMP0006,xs,-0.5047064696542585,-0.5455929129819538,0.04088644332769531,3,3,0.9222618502262308,0.9656909464591406
MMP0013,xs,0.1365174783629456,0.6542277777126295,-0.5177102993496839,3,3,0.541563949053231,0.7720676033630746
MMP0020,xs,-0.21968726945860598,0.8492152781035941,-1.0689025475622,3,3,0.10134877354985071,0.4648811461820055
MMP0025,xs,0.17410315276594088,-0.9579393105616001,1.132042463327541,3,3,0.21330436949875387,0.5698735632294261
MMP0034,xs,0.08521152703178142,2.0091292862071297,-1.9239177591753482,2,2,0.20831223408539443,0.566422029760286
MMP0040,xs,0.8984813594694273,2.7428442516315834,-1.844362892162156,3,3,0.10616638984061312,0.4648811461820055
MMP0041,xs,0.6118176766282605,0.12321584346700899,0.4886018331612515,3,3,0.30251102261540086,0.642408142203149
MMP0042,xs,0.27022897852070704,-0.006464919538190586,0.2766938980588976,2,3,0.31214603801979823,0.6488561968788662
MMP0044,xs,0.544218260081834,0.33444177240637724,0.2097764876754568,3,3,0.7440203979256106,0.8929838937136542
MMP0045,xs,-0.6098431503968876,0.47403831691096343,-1.083881467307851,3,3,0.24927469913123754,0.6041853383585021
MMP0046,xs,-0.8324367985759494,-0.6710059460255433,-0.16143085255040612,1,1,,
MMP0050,xs,-0.47847219885724623,-0.7728675924307798,0.2943953935735336,3,3,0.28238883035445184,0.624075266350195
MMP0051,xs,-0.16774233492746274,-0.7297732530773567,0.562030918149894,3,3,0.15944148243452305,0.5138471650994647
MMP0052,xs,0.3273344327915503,1.3064015655993733,-0.979067132807823,3,3,0.4167832870187983,0.7028679822895414
MMP0055,xs,-1.0928907247066924,0.3673364237761188,-1.460227148482811,2,1,,
MMP0057,xs,-0.09650796034317415,-0.3654034522348602,0.26889549189168604,3,3,0.7834725835407563,0.9071948778200086
MMP0058,xs,0.9543728195442401,0.254233102128296,0.7001397174159442,3,3,0.05514300067113556,0.38945012502927767
MMP0059,xs,-0.6905733703851299,0.993535080313725,-1.6841084506988548,3,3,0.030524063209487536,0.3447062970954905
MMP0060,xs,-0.7881950607181746,-1.56796431212902,0.7797692514108455,3,3,0.3299654237957345,0.659930847591469
MMP0061,xs,1.0259458001734683,0.640646489986483,0.38529931018698527,3,2,0.8175075488514529,0.9271043494306671
MMP0063,xs,0.3105082735605249,2.221671907755329,-1.911163634194804,2,2,0.16824417749420167,0.5203645402292327
