label,p_value_formate,fdr_formate,description,category,venn_region,p_value_phosphate,fdr_phosphate
"Mixed, incl. CoB--CoM heterodisulfide reductase activity, and Formylmethanofuran dehydrogenase activity [NetworkNeighborAL]",0.0028,0.0336,"Mixed, incl. CoB--CoM heterodisulfide reductase activity, and Formylmethanofuran dehydrogenase activity",NetworkNeighborAL,overlap,3.73e-05,0.00066
"Methanogenesis, and Radical SAM superfamily [NetworkNeighborAL]",0.003,0.0339,"Methanogenesis, and Radical SAM superfamily",NetworkNeighborAL,overlap,4.55e-07,1.12e-05
Butanoate metabolism [KEGG],0.0043,0.0344,Butanoate metabolism,KEGG,overlap,0.0002,0.002
"Biosynthesis of secondary metabolites, and Nucleotide biosynthetic process [NetworkNeighborAL]",,,"Biosynthesis of secondary metabolites, and Nucleotide biosynthetic process",NetworkNeighborAL,phosphate_only,8.8e-12,8.12e-10
"Cellular amino acid biosynthetic process, and Ribonucleoside monophosphate biosynthetic process [NetworkNeighborAL]",,,"Cellular amino acid biosynthetic process, and Ribonucleoside monophosphate biosynthetic process",NetworkNeighborAL,phosphate_only,4.91e-11,3.62e-09
"Biosynthesis of amino acids, and Ribonucleoside monophosphate biosynthetic process [NetworkNeighborAL]",,,"Biosynthesis of amino acids, and Ribonucleoside monophosphate biosynthetic process",NetworkNeighborAL,phosphate_only,6.8e-11,4.18e-09
Small molecule metabolic process [Process],,,Small molecule metabolic process,Process,phosphate_only,1.22e-09,2.53e-07
Ribonucleoside monophosphate biosynthetic process [Process],,,Ribonucleoside monophosphate biosynthetic process,Process,phosphate_only,9.05e-08,1.08e-05
"Ribonucleoside monophosphate biosynthetic process, and CTP metabolic process [NetworkNeighborAL]",,,"Ribonucleoside monophosphate biosynthetic process, and CTP metabolic process",NetworkNeighborAL,phosphate_only,1.41e-07,4.32e-06
Catalytic activity [Function],,,Catalytic activity,Function,phosphate_only,2.09e-07,5.91e-05
Nucleoside monophosphate metabolic process [Process],,,Nucleoside monophosphate metabolic process,Process,phosphate_only,3.92e-07,2.13e-05
Biosynthesis of secondary metabolites [KEGG],,,Biosynthesis of secondary metabolites,KEGG,phosphate_only,6.21e-07,9.94e-06
Ribose phosphate biosynthetic process [Process],,,Ribose phosphate biosynthetic process,Process,phosphate_only,8.31e-07,3.46e-05
Ribonucleotide biosynthetic process [Process],,,Ribonucleotide biosynthetic process,Process,phosphate_only,1.59e-06,6.31e-05
Nucleotide biosynthetic process [Process],,,Nucleotide biosynthetic process,Process,phosphate_only,1.73e-06,6.56e-05
Organic acid metabolic process [Process],,,Organic acid metabolic process,Process,phosphate_only,1.74e-06,6.56e-05
Nucleobase-containing compound biosynthetic process [Process],,,Nucleobase-containing compound biosynthetic process,Process,phosphate_only,1.84e-06,6.56e-05
Carboxylic acid biosynthetic process [Process],,,Carboxylic acid biosynthetic process,Process,phosphate_only,3.32e-06,0.00011
"Branched-chain amino acid metabolic process, and Threonine metabolic process [NetworkNeighborAL]",,,"Branched-chain amino acid metabolic process, and Threonine metabolic process",NetworkNeighborAL,phosphate_only,3.79e-06,8.75e-05
2-Oxocarboxylic acid metabolism [KEGG],,,2-Oxocarboxylic acid metabolism,KEGG,phosphate_only,4.46e-06,5.95e-05
Carbohydrate derivative biosynthetic process [Process],,,Carbohydrate derivative biosynthetic process,Process,phosphate_only,4.83e-06,0.00015
Ribonucleoside monophosphate biosynthetic process [NetworkNeighborAL],,,Ribonucleoside monophosphate biosynthetic process,NetworkNeighborAL,phosphate_only,6.11e-06,0.00013
Purine ribonucleoside monophosphate biosynthetic process [Process],,,Purine ribonucleoside monophosphate biosynthetic process,Process,phosphate_only,6.11e-06,0.00017
Purine biosynthesis [Keyword],,,Purine biosynthesis,Keyword,phosphate_only,9.14e-06,0.0015
Purine metabolism [KEGG],,,Purine metabolism,KEGG,phosphate_only,9.84e-06,0.00011
Carboxylic acid metabolic process [Process],,,Carboxylic acid metabolic process,Process,phosphate_only,1.07e-05,0.00024
"2-Oxocarboxylic acid metabolism, and Lysine biosynthesis [NetworkNeighborAL]",,,"2-Oxocarboxylic acid metabolism, and Lysine biosynthesis",NetworkNeighborAL,phosphate_only,1.54e-05,0.0003
Ribose phosphate metabolic process [Process],,,Ribose phosphate metabolic process,Process,phosphate_only,1.61e-05,0.00034
Alpha-amino acid metabolic process [Process],,,Alpha-amino acid metabolic process,Process,phosphate_only,1.65e-05,0.00034
