Gene names (ordered locus ),growth_rate,bio_rep,tech_rep,value,Anabolism/Catabolism,Assigned functional subsystem,Annotation (Uniprot),Automatic classification (RAST),Present in dataset
MMP0020,i,2,,1.490723121,Other,Transport,Putative nickel-responsive regulator,Transport of Nickel and Cobalt,yes
MMP0020,i,3,,1.341792229,Other,Transport,Putative nickel-responsive regulator,Transport of Nickel and Cobalt,yes
MMP0020,f,1,,0.655707762,Other,Transport,Putative nickel-responsive regulator,Transport of Nickel and Cobalt,yes
MMP0020,exp,1,,0.833000906,Other,Transport,Putative nickel-responsive regulator,Transport of Nickel and Cobalt,yes
MMP0020,exp,2,,1.625476155,Other,Transport,Putative nickel-responsive regulator,Transport of Nickel and Cobalt,yes
MMP0020,exp,3,,1.605715952,Other,Transport,Putative nickel-responsive regulator,Transport of Nickel and Cobalt,yes
MMP0023,i,1,,1.667055167,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0023,f,1,,3.278538813,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0023,f,2,,7.535385705,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0023,f,3,,1.864754098,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0023,exp,3,,1.605715952,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0024,exp,3,,0.0,Anabolism,DNA metabolism/cell division,"Putative AAA superfamily ATPase, similar to FtsH",Bacterial Cell Division,yes
MMP0025,xs,1,,0.879296043,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0025,xs,2,,0.721658031,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0025,xs,3,,0.214994838,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0025,i,1,,0.238150738,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0025,i,2,,0.414089756,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0025,i,3,,0.335448057,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0025,f,1,,0.655707763,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0025,f,2,,0.430593469,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0025,f,3,,0.621584699,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0025,exp,1,,1.166201269,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0025,exp,2,,1.300380923,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0025,exp,3,,0.602143482,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0026,i,1,,0.0,Anabolism,DNA metabolism/cell division,DNA polymerase II large subunit (Pol II) (EC 2.7.7.7) (Exodeoxyribonuclease large subunit) (EC 3.1.11.1),DNA replication,yes
MMP0030,f,1,,0.0,Anabolism,DNA metabolism/cell division,DNA replication protein MCM family putative,DNA replication,yes
MMP0030,exp,1,,0.0,Anabolism,DNA metabolism/cell division,DNA replication protein MCM family putative,DNA replication,yes
MMP0033,i,1,,0.555685056,Catabolism,Methanogenesis,LysR family member,Methanogenesis,yes
MMP0033,i,2,,1.987630828,Catabolism,Methanogenesis,LysR family member,Methanogenesis,yes
MMP0033,f,3,,1.243169399,Catabolism,Methanogenesis,LysR family member,Methanogenesis,yes
MMP0033,exp,1,,0.833000906,Catabolism,Methanogenesis,LysR family member,Methanogenesis,yes
MMP0033,exp,2,,0.812738077,Catabolism,Methanogenesis,LysR family member,Methanogenesis,yes
MMP0034,xs,1,,2.512274408,Anabolism,Miscellaneous biosynthesis,GTP cyclohydrolase MptA (EC 3.5.4.39) (GTP cyclohydrolase IV),Queuosine-Archaeosine Biosynthesis,yes
MMP0034,xs,3,,6.449845124,Anabolism,Miscellaneous biosynthesis,GTP cyclohydrolase MptA (EC 3.5.4.39) (GTP cyclohydrolase IV),Queuosine-Archaeosine Biosynthesis,yes
